,base,snap,calc,SCF,ex_en,osc
233,/home/share/wesolowski/NR_CGE_HUJI,483,iso1,-985.14854235,3.13017,2.398551
234,/home/share/wesolowski/NR_CGE_HUJI,484,iso1,-985.13701249,2.906785,2.468713
235,/home/share/wesolowski/NR_CGE_HUJI,485,iso1,-985.14542145,3.250561,2.372466
236,/home/share/wesolowski/NR_CGE_HUJI,486,iso1,-985.12144099,2.992342,2.414729
237,/home/share/wesolowski/NR_CGE_HUJI,487,iso1,-985.1429058,3.134847,2.184012
238,/home/share/wesolowski/NR_CGE_HUJI,488,iso1,-985.1426345,3.244665,2.277452
239,/home/share/wesolowski/NR_CGE_HUJI,489,iso1,-985.14155298,3.001741,2.459516
240,/home/share/wesolowski/NR_CGE_HUJI,490,iso1,-985.14089928,3.220382,2.431465
241,/home/share/wesolowski/NR_CGE_HUJI,491,iso1,-985.1265046,2.985997,2.443748
242,/home/share/wesolowski/NR_CGE_HUJI,492,iso1,-985.12145747,3.322186,2.411678
243,/home/share/wesolowski/NR_CGE_HUJI,493,iso1,-985.1358811,3.26815,2.421632
244,/home/share/wesolowski/NR_CGE_HUJI,494,iso1,-985.14792447,3.193163,2.426773
245,/home/share/wesolowski/NR_CGE_HUJI,495,iso1,-985.13445476,3.055213,2.375047
246,/home/share/wesolowski/NR_CGE_HUJI,496,iso1,-985.13694962,3.07907,2.42455
247,/home/share/wesolowski/NR_CGE_HUJI,497,iso1,-985.12807087,2.997555,2.487472
248,/home/share/wesolowski/NR_CGE_HUJI,498,iso1,-985.13528469,3.007643,2.404101
249,/home/share/wesolowski/NR_CGE_HUJI,499,iso1,-985.12081791,3.083189,2.351789
250,/home/share/wesolowski/NR_CGE_HUJI,500,iso1,-985.12687475,2.997587,2.426996
251,/home/share/wesolowski/NR_CGE_HUJI,501,iso1,-985.13202383,2.933409,2.494155
252,/home/share/wesolowski/NR_CGE_HUJI,502,iso1,-985.12134445,2.915861,2.482116
253,/home/share/wesolowski/NR_CGE_HUJI,503,iso1,-985.12181524,3.027084,2.470741
254,/home/share/wesolowski/NR_CGE_HUJI,504,iso1,-985.13927671,2.957233,2.494095
255,/home/share/wesolowski/NR_CGE_HUJI,505,iso1,-985.12384055,3.084071,2.251533
256,/home/share/wesolowski/NR_CGE_HUJI,506,iso1,-985.124423,2.913737,2.520738
257,/home/share/wesolowski/NR_CGE_HUJI,507,iso1,-985.14815425,3.259256,2.289665
258,/home/share/wesolowski/NR_CGE_HUJI,508,iso1,-985.1278878,2.971003,2.445317
259,/home/share/wesolowski/NR_CGE_HUJI,509,iso1,-985.13425308,2.933556,2.427573
260,/home/share/wesolowski/NR_CGE_HUJI,510,iso1,-985.13260994,2.945709,2.368439
